             VARIABLE : Surface temperature anomaly (K)
             DATA SET : GISTEMP Surface Temperature Analysis
             FILENAME : gistemp1200_GHCNv4_ERSSTv5.nc
             FILEPATH : /usr/local/fer_dsets/data/GISTEMP/
             BAD FLAG : -1.E+34       
             SUBSET   : 1455 points (TIME)
             LONGITUDE: 9W(-9)
             LATITUDE : 47N
         	9W   
JUN-1991	-0.47
JUL-1991	-0.03
AUG-1991	0.35
SEP-1991	1.3
OCT-1991	-0.29
NOV-1991	-0.45
DEC-1991	0.1
JAN-1992	0.23
FEB-1992	0.34
MAR-1992	0.4
APR-1992	0.07
MAY-1992	0.45
JUN-1992	0.32
JUL-1992	0.6
AUG-1992	0.07
SEP-1992	-0.63
OCT-1992	-0.8
NOV-1992	-0.53
DEC-1992	-0.05
JAN-1993	0.25
FEB-1993	0.45
MAR-1993	0.33
APR-1993	0.38
MAY-1993	0.38
JUN-1993	0.22
JUL-1993	-0.08
AUG-1993	-0.11
SEP-1993	-0.27
OCT-1993	-1.09
NOV-1993	-0.73
DEC-1993	-0.34
JAN-1994	-0.22
FEB-1994	-0.16
MAR-1994	0.09
APR-1994	-0.17
MAY-1994	0.07
JUN-1994	-0.18
JUL-1994	0.32
AUG-1994	0.04
SEP-1994	-0.73
OCT-1994	-0.29
NOV-1994	0.43
DEC-1994	0.84
JAN-1995	0.44
FEB-1995	0.57
MAR-1995	0.27
APR-1995	0.57
MAY-1995	0.67
JUN-1995	0.52
JUL-1995	1.11
AUG-1995	1.71
SEP-1995	0.59
OCT-1995	0.81
NOV-1995	1.22
DEC-1995	0.71
JAN-1996	0.81
FEB-1996	0.25
MAR-1996	0.13
APR-1996	0.57
MAY-1996	0.1
JUN-1996	0.53
JUL-1996	0.57
AUG-1996	0.56
SEP-1996	0.28
OCT-1996	0.04
NOV-1996	0.26
DEC-1996	0.02
JAN-1997	-0.08
FEB-1997	0.42
MAR-1997	0.86
APR-1997	1.29
MAY-1997	1.16
JUN-1997	0.83
JUL-1997	0.61
AUG-1997	1.39
SEP-1997	0.79
OCT-1997	1.3
NOV-1997	1.13
DEC-1997	0.92
JAN-1998	0.91
FEB-1998	0.86
MAR-1998	0.93
APR-1998	0.73
MAY-1998	0.91
JUN-1998	0.64
JUL-1998	0.32
AUG-1998	0.62
SEP-1998	0.54
OCT-1998	0.26
NOV-1998	0.3
DEC-1998	0.55
JAN-1999	0.67
FEB-1999	0.52
MAR-1999	0.5
APR-1999	0.68
MAY-1999	0.94
JUN-1999	0.65
JUL-1999	0.89
AUG-1999	1.04
SEP-1999	0.85
OCT-1999	0.11
NOV-1999	0.2
DEC-1999	0.08
JAN-2000	0.24
FEB-2000	0.58
MAR-2000	0.67
APR-2000	0.35
MAY-2000	0.71
JUN-2000	0.5
JUL-2000	0.66
AUG-2000	0.91
SEP-2000	0.8
OCT-2000	-0.07
NOV-2000	-0.58
DEC-2000	-0.05
JAN-2001	0.11
FEB-2001	0.37
MAR-2001	0.4
APR-2001	0.47
MAY-2001	0.65
JUN-2001	0.84
JUL-2001	0.61
AUG-2001	0.87
SEP-2001	0.86
OCT-2001	0.76
NOV-2001	0.63
DEC-2001	0.46
JAN-2002	0.71
FEB-2002	0.84
MAR-2002	0.83
APR-2002	0.84
MAY-2002	0.45
JUN-2002	-0.2
JUL-2002	-0.52
AUG-2002	0.21
SEP-2002	0.65
OCT-2002	0.67
NOV-2002	0.31
DEC-2002	0.3
JAN-2003	0.45
FEB-2003	0.27
MAR-2003	0.56
APR-2003	0.75
MAY-2003	0.49
JUN-2003	1.07
JUL-2003	1
AUG-2003	1.69
SEP-2003	1.33
OCT-2003	0.97
NOV-2003	0.4
DEC-2003	0.59
JAN-2004	0.7
FEB-2004	0.86
MAR-2004	0.56
APR-2004	0.66
MAY-2004	0.57
JUN-2004	1.26
JUL-2004	0.83
AUG-2004	1.12
SEP-2004	0.57
OCT-2004	0.17
NOV-2004	0.23
DEC-2004	0.44
JAN-2005	0.68
FEB-2005	0.49
MAR-2005	0.44
APR-2005	0.79
MAY-2005	0.81
JUN-2005	1.16
JUL-2005	1.05
AUG-2005	1.08
SEP-2005	1.01
OCT-2005	1.02
NOV-2005	0.95
DEC-2005	0.34
JAN-2006	0.44
FEB-2006	0.41
MAR-2006	0.26
APR-2006	0.69
MAY-2006	0.97
JUN-2006	0.95
JUL-2006	1.58
AUG-2006	1.01
SEP-2006	1.1
OCT-2006	1.19
NOV-2006	1.42
DEC-2006	1.06
JAN-2007	1.09
FEB-2007	0.96
MAR-2007	0.87
APR-2007	1.18
MAY-2007	1.06
JUN-2007	0.8
JUL-2007	0.31
AUG-2007	0.31
SEP-2007	0.63
OCT-2007	0.98
NOV-2007	1.19
DEC-2007	1.01
JAN-2008	1.02
FEB-2008	1.21
MAR-2008	0.88
APR-2008	0.81
MAY-2008	1.19
JUN-2008	1.06
JUL-2008	0.52
AUG-2008	0.34
SEP-2008	0.13
OCT-2008	0.14
NOV-2008	0.07
DEC-2008	0.1
JAN-2009	0.23
FEB-2009	0.17
MAR-2009	0.52
APR-2009	0.59
MAY-2009	0.51
JUN-2009	1.17
JUL-2009	0.99
AUG-2009	0.55
SEP-2009	0.3
OCT-2009	1.01
NOV-2009	0.97
DEC-2009	0.58
JAN-2010	0.25
FEB-2010	0.27
MAR-2010	0.17
APR-2010	0.44
MAY-2010	0.76
JUN-2010	1.35
JUL-2010	1.17
AUG-2010	0.76
SEP-2010	0.96
OCT-2010	0.56
NOV-2010	0.32
DEC-2010	0.01
JAN-2011	0.22
FEB-2011	0.48
MAR-2011	0.69
APR-2011	1.4
MAY-2011	1.5
JUN-2011	0.61
JUL-2011	0.08
AUG-2011	0.04
SEP-2011	0.13
OCT-2011	0.95
NOV-2011	1.12
DEC-2011	0.78
JAN-2012	0.74
FEB-2012	0.45
MAR-2012	0.72
APR-2012	0.63
MAY-2012	0.46
JUN-2012	0.73
JUL-2012	0.2
AUG-2012	0.74
SEP-2012	0.74
OCT-2012	0.48
NOV-2012	0.27
DEC-2012	0.37
JAN-2013	0.52
FEB-2013	0.42
MAR-2013	0.17
APR-2013	0.16
MAY-2013	-0.32
JUN-2013	-0.59
JUL-2013	0.59
AUG-2013	0.97
SEP-2013	0.81
OCT-2013	1.41
NOV-2013	0.75
DEC-2013	0.48
JAN-2014	0.44
FEB-2014	0.27
MAR-2014	0.37
APR-2014	0.77
MAY-2014	0.82
JUN-2014	0.78
JUL-2014	0.99
AUG-2014	0.91
SEP-2014	1.52
OCT-2014	1.34
NOV-2014	1.14
DEC-2014	0.58
JAN-2015	0.51
FEB-2015	0.15
MAR-2015	0.1
APR-2015	0.54
MAY-2015	0.57
JUN-2015	0.38
JUL-2015	0.62
AUG-2015	0.01
SEP-2015	-0.03
OCT-2015	0.31
NOV-2015	0.8
DEC-2015	0.92
JAN-2016	1.01
FEB-2016	0.75
MAR-2016	0.39
APR-2016	0.37
MAY-2016	0.56
JUN-2016	1.12
JUL-2016	0.78
AUG-2016	0.97
SEP-2016	1.27
OCT-2016	0.84
NOV-2016	0.79
DEC-2016	0.92
JAN-2017	0.91
FEB-2017	0.77
MAR-2017	0.8
APR-2017	1.16
MAY-2017	1.25
JUN-2017	1.52
JUL-2017	0.82
AUG-2017	0.5
SEP-2017	0.26
OCT-2017	0.58
NOV-2017	0.9
DEC-2017	0.87
JAN-2018	0.76
FEB-2018	0.54
MAR-2018	0.23
APR-2018	0.12
MAY-2018	0.26
JUN-2018	0.57
JUL-2018	1.46
AUG-2018	1
SEP-2018	0.59
OCT-2018	0.62
NOV-2018	0.2
DEC-2018	0.62
JAN-2019	0.88
FEB-2019	0.78
MAR-2019	0.97
APR-2019	0.87
MAY-2019	1.11
JUN-2019	0.92
JUL-2019	1.4
AUG-2019	0.83
SEP-2019	0.83
OCT-2019	0.81
NOV-2019	0.51
DEC-2019	0.28
JAN-2020	0.62
FEB-2020	0.78
MAR-2020	0.8
APR-2020	1.12
MAY-2020	1.52
JUN-2020	1.21
JUL-2020	0.94
AUG-2020	1.14
SEP-2020	0.79
OCT-2020	0.08
NOV-2020	0.5
DEC-2020	0.58
JAN-2021	0.38
FEB-2021	0.52
