             VARIABLE : Surface temperature anomaly (K)
             DATA SET : GISTEMP Surface Temperature Analysis
             FILENAME : gistemp1200_GHCNv4_ERSSTv5.nc
             FILEPATH : /usr/local/fer_dsets/data/GISTEMP/
             BAD FLAG : -1.E+34       
             SUBSET   : 1455 points (TIME)
             LONGITUDE: 9W(-9)
             LATITUDE : 47N
         	9W   
JUN-1921	0.51
JUL-1921	1.36
AUG-1921	-0.21
SEP-1921	0.32
OCT-1921	1.51
NOV-1921	0.84
DEC-1921	0.81
JAN-1922	0.31
FEB-1922	0.17
MAR-1922	-0.14
APR-1922	-0.43
MAY-1922	0.07
JUN-1922	-0.07
JUL-1922	-0.99
AUG-1922	-0.86
SEP-1922	-1.29
OCT-1922	-0.95
NOV-1922	-0.73
DEC-1922	-0.24
JAN-1923	-0.26
FEB-1923	-0.07
MAR-1923	0.04
APR-1923	-0.4
MAY-1923	-0.44
JUN-1923	-0.96
JUL-1923	0.05
AUG-1923	-0.1
SEP-1923	-0.97
OCT-1923	-0.67
NOV-1923	-1.1
DEC-1923	-0.92
JAN-1924	-0.53
FEB-1924	-0.67
MAR-1924	-0.47
APR-1924	-0.46
MAY-1924	-0.23
JUN-1924	-0.11
JUL-1924	-0.34
AUG-1924	-0.77
SEP-1924	-0.87
OCT-1924	-0.79
NOV-1924	-0.33
DEC-1924	0.04
JAN-1925	0.33
FEB-1925	0.04
MAR-1925	-0.51
APR-1925	-0.5
MAY-1925	-0.45
JUN-1925	-0.08
JUL-1925	-0.46
AUG-1925	-0.6
SEP-1925	-0.9
OCT-1925	-0.46
NOV-1925	-0.68
DEC-1925	-0.41
JAN-1926	0.08
FEB-1926	0.31
MAR-1926	0.4
APR-1926	0.31
MAY-1926	-0.21
JUN-1926	-0.38
JUL-1926	0.28
AUG-1926	0.36
SEP-1926	0.97
OCT-1926	0.87
NOV-1926	-0.32
DEC-1926	-0.47
JAN-1927	-0.34
FEB-1927	-0.12
MAR-1927	-0.03
APR-1927	-0.17
MAY-1927	0.5
JUN-1927	-1.E+34
JUL-1927	-0.25
AUG-1927	-0.46
SEP-1927	-0.64
OCT-1927	-0.18
NOV-1927	-0.09
DEC-1927	-0.3
JAN-1928	-0.19
FEB-1928	0.17
MAR-1928	0.16
APR-1928	-0.21
MAY-1928	-0.28
JUN-1928	-0.23
JUL-1928	0.37
AUG-1928	0.43
SEP-1928	0.37
OCT-1928	-0.07
NOV-1928	-0.25
DEC-1928	-0.13
JAN-1929	-0.12
FEB-1929	0.05
MAR-1929	0.28
APR-1929	0.11
MAY-1929	-0.47
JUN-1929	-0.4
JUL-1929	-0.12
AUG-1929	-0.26
SEP-1929	0.97
OCT-1929	0.06
NOV-1929	-0.39
DEC-1929	-0.17
JAN-1930	-0.03
FEB-1930	-0.51
MAR-1930	-0.49
APR-1930	-0.53
MAY-1930	-0.29
JUN-1930	0.06
JUL-1930	-0.27
AUG-1930	-0.84
SEP-1930	-0.16
OCT-1930	-0.1
NOV-1930	-0.11
DEC-1930	0.11
JAN-1931	0.07
FEB-1931	-0.16
MAR-1931	-0.14
APR-1931	0.03
MAY-1931	-0.08
JUN-1931	0.18
JUL-1931	-0.18
AUG-1931	-0.52
SEP-1931	-0.56
OCT-1931	0.04
NOV-1931	0.07
DEC-1931	0.24
JAN-1932	0.49
FEB-1932	-0.07
MAR-1932	-0.09
APR-1932	-0.31
MAY-1932	-0.18
JUN-1932	-0.07
JUL-1932	-0.09
AUG-1932	0.58
SEP-1932	0.58
OCT-1932	-0.44
NOV-1932	-0.08
DEC-1932	0.13
JAN-1933	-0.01
FEB-1933	-0.2
MAR-1933	0.11
APR-1933	0.7
MAY-1933	0.68
JUN-1933	0.32
JUL-1933	0.26
AUG-1933	0.75
SEP-1933	0.88
OCT-1933	0.71
NOV-1933	-0.23
DEC-1933	-0.45
JAN-1934	-0.14
FEB-1934	-0.29
MAR-1934	-0.4
APR-1934	-0.52
MAY-1934	-0.41
JUN-1934	0.45
JUL-1934	0.79
AUG-1934	-0.03
SEP-1934	-0.1
OCT-1934	-0.16
NOV-1934	-0.43
DEC-1934	0.34
JAN-1935	0.26
FEB-1935	0.24
MAR-1935	0.16
APR-1935	0.23
MAY-1935	-0.07
JUN-1935	-0.58
JUL-1935	0.06
AUG-1935	0.12
SEP-1935	-0.24
OCT-1935	-0.67
NOV-1935	-0.62
DEC-1935	-0.59
JAN-1936	-0.14
FEB-1936	-0.05
MAR-1936	-0.21
APR-1936	-0.04
MAY-1936	-0.35
JUN-1936	-0.47
JUL-1936	-0.51
